YEAR	SECTION	MATCH	FIRST_PLAYER	SECOND_PLAYER	WIN_PLAYER
2024年後期	第3節	第1試合	ZweiLance	はるる	ZweiLance
2024年後期	第3節	第2試合	村井	マイケル	マイケル
2024年後期	第3節	第3試合	リキセキタクジン	るるる	るるる
2024年後期	第3節	第4試合	ドラ焼き	はるる	はるる
2024年後期	第3節	第5試合	dotto	村井	dotto
2024年後期	第3節	第6試合	セキボン	るるる	るるる
2024年後期	第3節	第7試合	ZweiLance	ドラ焼き	ZweiLance
2024年後期	第3節	第8試合	dotto	マイケル	dotto
2024年後期	第3節	第9試合	リキセキタクジン	セキボン	セキボン
2024年後期	第3節	第10試合	フェアリー	ドラ焼き	フェアリー
2024年後期	第3節	第11試合	おんそく	ドラ焼き	ドラ焼き
2024年後期	第3節	第12試合	おんそく	フェアリー	フェアリー
2024年後期	第4節	第1試合	セキボン	ZweiLance	ZweiLance
2024年後期	第4節	第2試合	dotto	おんそく	おんそく
2024年後期	第4節	第3試合	にわか	りっきー	にわか
2024年後期	第4節	第4試合	フェアリー	セキボン	セキボン
2024年後期	第4節	第5試合	あーくん	dotto	あーくん
2024年後期	第4節	第6試合	るるる	りっきー	りっきー
2024年後期	第4節	第7試合	ZweiLance	フェアリー	フェアリー
2024年後期	第4節	第8試合	おんそく	あーくん	おんそく
2024年後期	第4節	第9試合	るるる	にわか	るるる
2024年後期	第5節	第1試合	はるる	カイザ	カイザ
2024年後期	第5節	第2試合	るるる	りっきー	るるる
2024年後期	第5節	第3試合	村井	ドラ焼き	ドラ焼き
2024年後期	第5節	第4試合	はるる	マイケル	はるる
2024年後期	第5節	第5試合	にわか	るるる	るるる
2024年後期	第5節	第6試合	ZweiLance	村井	ZweiLance
2024年後期	第5節	第7試合	カイザ	マイケル	カイザ
2024年後期	第5節	第8試合	にわか	りっきー	にわか
2024年後期	第5節	第9試合	ドラ焼き	ZweiLance	ZweiLance
2024年後期	第6節	第1試合	村井	おんそく	村井
2024年後期	第6節	第2試合	リキセキタクジン	るるる	リキセキタクジン
2024年後期	第6節	第3試合	フェアリー	にわか	にわか
2024年後期	第6節	第4試合	セキボン	おんそく	セキボン
2024年後期	第6節	第5試合	ドラ焼き	リキセキタクジン	ドラ焼き
2024年後期	第6節	第6試合	にわか	カイザ	カイザ
2024年後期	第6節	第7試合	セキボン	村井	村井
2024年後期	第6節	第8試合	ドラ焼き	るるる	ドラ焼き
2024年後期	第6節	第9試合	カイザ	フェアリー	カイザ
2024年後期	第6節	第10試合	dotto	ZweiLance	ZweiLance
2024年後期	第6節	第11試合	flat	ZweiLance	flat
2024年後期	第6節	第12試合	flat	dotto	flat
2025年前期	第1節	第1試合	dotto	るるる	るるる
2025年前期	第1節	第2試合	りっきー	フェアリー	りっきー
2025年前期	第1節	第3試合	カイザ	はるる	カイザ
2025年前期	第1節	第4試合	デンネ	dotto	dotto
2025年前期	第1節	第5試合	あんだんて	りっきー	あんだんて
2025年前期	第1節	第6試合	カイザ	むった	むった
2025年前期	第1節	第7試合	デンネ	るるる	るるる
2025年前期	第1節	第8試合	フェアリー	あんだんて	フェアリー
2025年前期	第1節	第9試合	むった	はるる	むった
2025年前期	第2節	第1試合	あんだんて	りっきー	あんだんて
2025年前期	第2節	第2試合	おんそく	dotto	おんそく
2025年前期	第2節	第3試合	にわか	セキボン	セキボン
2025年前期	第2節	第4試合	るるる	あんだんて	るるる
2025年前期	第2節	第5試合	あーくん	おんそく	あーくん
2025年前期	第2節	第6試合	村井	にわか	にわか
2025年前期	第2節	第7試合	りっきー	るるる	りっきー
2025年前期	第2節	第8試合	dotto	あーくん	あーくん
2025年前期	第2節	第9試合	村井	セキボン	セキボン
2025年前期	第3節	第1試合	デンネ	はるる	デンネ
2025年前期	第3節	第2試合	にわか	村井	にわか
2025年前期	第3節	第3試合	むった	るるる	むった
2025年前期	第3節	第4試合	りっきー	はるる	はるる
2025年前期	第3節	第5試合	村井	カイザ	カイザ
2025年前期	第3節	第6試合	セキボン	るるる	セキボン
2025年前期	第3節	第7試合	デンネ	りっきー	デンネ
2025年前期	第3節	第8試合	にわか	カイザ	カイザ
2025年前期	第3節	第9試合	むった	セキボン	セキボン
2025年前期	第3節	第10試合	フェアリー	おんそく	フェアリー
2025年前期	第3節	第11試合	ドラ焼き	フェアリー	ドラ焼き
2025年前期	第3節	第12試合	ドラ焼き	おんそく	ドラ焼き
2025年前期	第4節	第1試合	むった	ドラ焼き	ドラ焼き
2025年前期	第4節	第2試合	デンネ	りっきー	りっきー
2025年前期	第4節	第3試合	おんそく	dotto	おんそく
2025年前期	第4節	第4試合	フェアリー	ドラ焼き	フェアリー
2025年前期	第4節	第5試合	りっきー	るるる	りっきー
2025年前期	第4節	第6試合	あーくん	dotto	dotto
2025年前期	第4節	第7試合	フェアリー	むった	フェアリー
2025年前期	第4節	第8試合	デンネ	るるる	るるる
2025年前期	第4節	第9試合	おんそく	あーくん	おんそく
2025年前期	第5節	第1試合	あーくん	ドラ焼き	あーくん
2025年前期	第5節	第2試合	セキボン	はるる	セキボン
2025年前期	第5節	第3試合	りっきー	るるる	りっきー
2025年前期	第5節	第4試合	あーくん	むった	あーくん
2025年前期	第5節	第5試合	はるる	デンネ	はるる
2025年前期	第5節	第6試合	るるる	あんだんて	るるる
2025年前期	第5節	第7試合	むった	ドラ焼き	ドラ焼き
2025年前期	第5節	第8試合	デンネ	セキボン	デンネ
2025年前期	第5節	第9試合	あんだんて	りっきー	あんだんて
2025年前期	第6節	第1試合	村井	にわか	村井
2025年前期	第6節	第2試合	るるる	おんそく	おんそく
2025年前期	第6節	第3試合	はるる	デンネ	はるる
2025年前期	第6節	第4試合	にわか	ドラ焼き	にわか
2025年前期	第6節	第5試合	カイザ	おんそく	カイザ
2025年前期	第6節	第6試合	デンネ	セキボン	セキボン
2025年前期	第6節	第7試合	村井	ドラ焼き	ドラ焼き
2025年前期	第6節	第8試合	るるる	カイザ	カイザ
2025年前期	第6節	第9試合	セキボン	はるる	はるる
2025年前期	第6節	第10試合	ZweiLance	flat	ZweiLance
2025年前期	第6節	第11試合	dotto	ZweiLance	ZweiLance
2025年前期	第6節	第12試合	flat	dotto	dotto
